rank,naa_signed,id,category,source_dataset,word_count,manipulative,credibility,naa_ratio,classification,flagged
89,0.002052,reward_hook-0065,reward_hook,Webis-Clickbait-17,152,1,,1.018548,MOD,1
90,0.001964,neutral_informational-0091,neutral_informational,PubMed,164,0,1.0,1.027013,MOD,1
91,0.001958,reward_hook-0061,reward_hook,Webis-Clickbait-17,156,1,,1.058848,MOD,1
92,0.001836,reward_hook-0078,reward_hook,Webis-Clickbait-17,154,1,,1.059494,MOD,1
93,0.001666,fear_activating-0064,fear_activating,ISOT-fake,169,1,,1.063206,MOD,1
94,0.001495,fear_activating-0074,fear_activating,ISOT-fake,152,1,,1.008891,MOD,1
95,0.001474,reward_hook-0011,reward_hook,Webis-Clickbait-17,165,1,,1.015173,MOD,1
96,0.001367,fear_activating-0056,fear_activating,ISOT-fake,159,1,,1.006788,MOD,1
97,0.001123,fear_activating-0035,fear_activating,ISOT-fake,157,1,,1.002431,MOD,1
98,0.0009,reward_hook-0069,reward_hook,Webis-Clickbait-17,172,1,,0.997317,LOW,1
99,0.000885,neutral_informational-0036,neutral_informational,ISOT-true,153,0,,,UNDEFINED,1
100,0.000773,fear_activating-0007,fear_activating,ISOT-fake,166,1,,0.992802,LOW,1
101,0.000733,high_outrage-0028,high_outrage,SemEval-2019-Task4,151,1,,0.995780,LOW,1
102,0.000672,fear_activating-0004,fear_activating,ISOT-fake,168,1,,,UNDEFINED,1
103,0.000647,fear_activating-0073,fear_activating,ISOT-fake,170,1,,0.987564,LOW,1
104,0.000482,high_outrage-0090,high_outrage,SemEval-2019-Task4,152,1,,0.984367,LOW,1
105,0.000459,fear_activating-0029,fear_activating,ISOT-fake,162,1,,0.991201,LOW,1
106,0.000375,neutral_informational-0055,neutral_informational,PubMed,158,0,1.0,0.988706,LOW,1
107,0.000307,high_outrage-0058,high_outrage,SemEval-2019-Task4,154,1,,0.987459,LOW,1
108,0.000245,fear_activating-0071,fear_activating,ISOT-fake,153,1,,0.976026,LOW,1
109,0.00013,reward_hook-0022,reward_hook,Webis-Clickbait-17,170,1,,0.931105,LOW,1
110,4.6e-05,fear_activating-0034,fear_activating,ISOT-fake,172,1,,0.957789,LOW,1
111,2.3e-05,reward_hook-0035,reward_hook,Webis-Clickbait-17,170,1,,0.977951,LOW,1
112,-6e-06,high_outrage-0076,high_outrage,SemEval-2019-Task4,182,1,,0.948952,LOW,1
113,-6.8e-05,reward_hook-0089,reward_hook,Webis-Clickbait-17,182,1,,0.960644,LOW,1
114,-0.000346,high_outrage-0049,high_outrage,SemEval-2019-Task4,158,1,,0.940551,LOW,1
115,-0.00044,high_outrage-0066,high_outrage,SemEval-2019-Task4,192,1,,0.966839,LOW,1
116,-0.000539,neutral_informational-0095,neutral_informational,PubMed,157,0,1.0,0.948823,LOW,1
117,-0.000605,neutral_informational-0078,neutral_informational,ISOT-true,169,0,,0.967494,LOW,1
118,-0.000812,high_outrage-0000,high_outrage,SemEval-2019-Task4,162,1,,0.966043,LOW,1
119,-0.001128,neutral_informational-0096,neutral_informational,ISOT-true,171,0,,0.954351,LOW,1
120,-0.001131,reward_hook-0098,reward_hook,Webis-Clickbait-17,150,1,,0.844716,LOW,1
121,-0.00115,reward_hook-0087,reward_hook,Webis-Clickbait-17,178,1,,0.918430,LOW,1
122,-0.00135,reward_hook-0079,reward_hook,Webis-Clickbait-17,151,1,,,UNDEFINED,1
123,-0.001379,fear_activating-0018,fear_activating,ISOT-fake,178,1,,0.961678,LOW,1
124,-0.001679,reward_hook-0003,reward_hook,Webis-Clickbait-17,172,1,,0.879222,LOW,1
125,-0.001807,fear_activating-0094,fear_activating,ISOT-fake,172,1,,,UNDEFINED,1
126,-0.00194,reward_hook-0073,reward_hook,Webis-Clickbait-17,151,1,,0.936927,LOW,1
127,-0.001943,fear_activating-0096,fear_activating,ISOT-fake,157,1,,0.934864,LOW,1
128,-0.001945,fear_activating-0066,fear_activating,ISOT-fake,154,1,,0.859664,LOW,1
129,-0.002191,fear_activating-0070,fear_activating,ISOT-fake,158,1,,,UNDEFINED,1
130,-0.002277,reward_hook-0019,reward_hook,Webis-Clickbait-17,164,1,,0.776960,LOW,1
131,-0.002549,fear_activating-0039,fear_activating,ISOT-fake,150,1,,0.797919,LOW,1
132,-0.002631,fear_activating-0036,fear_activating,ISOT-fake,191,1,,0.960103,LOW,1
133,-0.002711,high_outrage-0080,high_outrage,SemEval-2019-Task4,156,1,,0.841653,LOW,1
134,-0.002804,neutral_informational-0064,neutral_informational,ISOT-true,161,0,,0.628614,LOW,1
135,-0.002908,neutral_informational-0088,neutral_informational,ISOT-true,154,0,,0.911765,LOW,1
136,-0.003729,high_outrage-0039,high_outrage,SemEval-2019-Task4,161,1,,0.898076,LOW,1
137,-0.003924,reward_hook-0038,reward_hook,Webis-Clickbait-17,152,1,,0.597885,LOW,1
138,-0.003994,neutral_informational-0094,neutral_informational,ISOT-true,170,0,,0.927403,LOW,1
139,-0.004018,high_outrage-0072,high_outrage,SemEval-2019-Task4,152,1,,0.852157,LOW,1
140,-0.004169,fear_activating-0082,fear_activating,ISOT-fake,154,1,,,UNDEFINED,1
141,-0.004237,reward_hook-0050,reward_hook,Webis-Clickbait-17,152,1,,0.465759,LOW,1
142,-0.004246,neutral_informational-0097,neutral_informational,PubMed,166,0,1.0,0.868922,LOW,1
143,-0.004397,fear_activating-0060,fear_activating,ISOT-fake,187,1,,0.860394,LOW,1
144,-0.0045,neutral_informational-0008,neutral_informational,ISOT-true,170,0,,0.870766,LOW,1
145,-0.004594,reward_hook-0083,reward_hook,Webis-Clickbait-17,157,1,,0.872555,LOW,1
146,-0.004796,fear_activating-0089,fear_activating,ISOT-fake,171,1,,0.834595,LOW,1
147,-0.004799,reward_hook-0042,reward_hook,Webis-Clickbait-17,164,1,,0.804167,LOW,1
148,-0.005054,neutral_informational-0082,neutral_informational,ISOT-true,158,0,,0.795644,LOW,1
149,-0.005185,reward_hook-0031,reward_hook,Webis-Clickbait-17,154,1,,0.887939,LOW,1
150,-0.005209,fear_activating-0011,fear_activating,ISOT-fake,162,1,,0.937796,LOW,1
151,-0.005241,neutral_informational-0048,neutral_informational,ISOT-true,151,0,,0.789152,LOW,1
152,-0.005525,high_outrage-0093,high_outrage,SemEval-2019-Task4,157,1,,0.693982,LOW,1
153,-0.005848,reward_hook-0068,reward_hook,Webis-Clickbait-17,165,1,,0.833688,LOW,1
154,-0.006007,reward_hook-0015,reward_hook,Webis-Clickbait-17,172,1,,0.834982,LOW,1
155,-0.00608,fear_activating-0046,fear_activating,ISOT-fake,164,1,,0.687406,LOW,1
156,-0.006195,fear_activating-0097,fear_activating,ISOT-fake,200,1,,0.871770,LOW,1
157,-0.00623,neutral_informational-0000,neutral_informational,ISOT-true,163,0,,0.824232,LOW,1
158,-0.006279,fear_activating-0088,fear_activating,ISOT-fake,184,1,,0.818619,LOW,1
159,-0.006312,neutral_informational-0025,neutral_informational,PubMed,156,0,1.0,,UNDEFINED,1
160,-0.006349,high_outrage-0002,high_outrage,SemEval-2019-Task4,171,1,,0.776392,LOW,1
161,-0.006752,neutral_informational-0083,neutral_informational,PubMed,159,0,1.0,0.890492,LOW,1
162,-0.006814,neutral_informational-0034,neutral_informational,ISOT-true,152,0,,0.861556,LOW,1
163,-0.006882,neutral_informational-0079,neutral_informational,PubMed,155,0,1.0,,UNDEFINED,1
164,-0.006949,fear_activating-0016,fear_activating,ISOT-fake,161,1,,0.844491,LOW,1
165,-0.006963,reward_hook-0008,reward_hook,Webis-Clickbait-17,150,1,,0.329520,LOW,1
166,-0.007247,reward_hook-0014,reward_hook,Webis-Clickbait-17,151,1,,0.825045,LOW,1
167,-0.007264,high_outrage-0013,high_outrage,SemEval-2019-Task4,166,1,,0.538724,LOW,1
168,-0.007414,neutral_informational-0056,neutral_informational,ISOT-true,164,0,,0.756954,LOW,1
169,-0.007426,reward_hook-0063,reward_hook,Webis-Clickbait-17,174,1,,0.774853,LOW,1
170,-0.007464,high_outrage-0042,high_outrage,SemEval-2019-Task4,155,1,,0.893525,LOW,1
171,-0.007511,high_outrage-0073,high_outrage,SemEval-2019-Task4,154,1,,0.821763,LOW,1
172,-0.007677,fear_activating-0015,fear_activating,ISOT-fake,163,1,,0.776701,LOW,1
173,-0.007874,high_outrage-0003,high_outrage,SemEval-2019-Task4,161,1,,0.831205,LOW,1
174,-0.008378,reward_hook-0049,reward_hook,Webis-Clickbait-17,164,1,,0.508147,LOW,1
175,-0.008413,high_outrage-0046,high_outrage,SemEval-2019-Task4,157,1,,0.399423,LOW,1
176,-0.008442,high_outrage-0021,high_outrage,SemEval-2019-Task4,151,1,,0.754128,LOW,1
177,-0.008458,fear_activating-0006,fear_activating,ISOT-fake,187,1,,,UNDEFINED,1
178,-0.008496,reward_hook-0053,reward_hook,Webis-Clickbait-17,169,1,,0.607328,LOW,1
179,-0.008756,reward_hook-0047,reward_hook,Webis-Clickbait-17,161,1,,0.866153,LOW,1
180,-0.008988,reward_hook-0091,reward_hook,Webis-Clickbait-17,160,1,,0.613132,LOW,1
181,-0.009028,high_outrage-0047,high_outrage,SemEval-2019-Task4,152,1,,0.792765,LOW,1
182,-0.009456,high_outrage-0084,high_outrage,SemEval-2019-Task4,160,1,,0.805963,LOW,1
183,-0.009492,reward_hook-0036,reward_hook,Webis-Clickbait-17,158,1,,0.532147,LOW,1
184,-0.009772,neutral_informational-0072,neutral_informational,ISOT-true,153,0,,0.789255,LOW,1
185,-0.009848,fear_activating-0017,fear_activating,ISOT-fake,172,1,,0.848385,LOW,1
186,-0.010083,reward_hook-0028,reward_hook,Webis-Clickbait-17,153,1,,0.546775,LOW,1
187,-0.010252,fear_activating-0049,fear_activating,ISOT-fake,186,1,,0.429129,LOW,1
188,-0.010499,reward_hook-0025,reward_hook,Webis-Clickbait-17,154,1,,0.375290,LOW,1
189,-0.010781,high_outrage-0057,high_outrage,SemEval-2019-Task4,153,1,,0.589237,LOW,1
190,-0.010863,reward_hook-0012,reward_hook,Webis-Clickbait-17,160,1,,0.730188,LOW,1
191,-0.011025,neutral_informational-0084,neutral_informational,ISOT-true,168,0,,0.449140,LOW,1
192,-0.011113,high_outrage-0005,high_outrage,SemEval-2019-Task4,167,1,,0.156430,LOW,1
193,-0.011376,fear_activating-0042,fear_activating,ISOT-fake,153,1,,0.386834,LOW,1
194,-0.011759,reward_hook-0093,reward_hook,Webis-Clickbait-17,166,1,,,UNDEFINED,1
195,-0.011882,fear_activating-0001,fear_activating,ISOT-fake,154,1,,0.451427,LOW,1
196,-0.012007,fear_activating-0021,fear_activating,ISOT-fake,158,1,,0.808639,LOW,1
197,-0.012047,reward_hook-0030,reward_hook,Webis-Clickbait-17,159,1,,0.586990,LOW,1
198,-0.012559,neutral_informational-0033,neutral_informational,PubMed,174,0,1.0,0.594126,LOW,0
199,-0.012581,high_outrage-0088,high_outrage,SemEval-2019-Task4,154,1,,0.543200,LOW,0
200,-0.012589,reward_hook-0080,reward_hook,Webis-Clickbait-17,154,1,,0.541563,LOW,0
201,-0.012594,neutral_informational-0024,neutral_informational,ISOT-true,167,0,,0.383934,LOW,0
202,-0.012627,reward_hook-0001,reward_hook,Webis-Clickbait-17,150,1,,0.784571,LOW,0
203,-0.012649,fear_activating-0005,fear_activating,ISOT-fake,167,1,,0.681160,LOW,0
204,-0.012664,neutral_informational-0066,neutral_informational,ISOT-true,157,0,,0.643351,LOW,0
205,-0.012934,neutral_informational-0028,neutral_informational,ISOT-true,151,0,,0.649889,LOW,0
206,-0.013049,reward_hook-0010,reward_hook,Webis-Clickbait-17,152,1,,0.676565,LOW,0
207,-0.013122,reward_hook-0056,reward_hook,Webis-Clickbait-17,161,1,,0.616311,LOW,0
208,-0.013317,neutral_informational-0058,neutral_informational,ISOT-true,185,0,,0.692640,LOW,0
209,-0.013331,neutral_informational-0041,neutral_informational,PubMed,159,0,1.0,0.527958,LOW,0
210,-0.013333,reward_hook-0064,reward_hook,Webis-Clickbait-17,161,1,,,UNDEFINED,0
211,-0.013462,reward_hook-0048,reward_hook,Webis-Clickbait-17,179,1,,,UNDEFINED,0
212,-0.013715,high_outrage-0037,high_outrage,SemEval-2019-Task4,170,1,,0.667157,LOW,0
213,-0.013776,high_outrage-0020,high_outrage,SemEval-2019-Task4,181,1,,0.269660,LOW,0
214,-0.013984,fear_activating-0059,fear_activating,ISOT-fake,167,1,,0.552866,LOW,0
215,-0.014505,neutral_informational-0065,neutral_informational,PubMed,159,0,1.0,0.461064,LOW,0
216,-0.01474,neutral_informational-0021,neutral_informational,PubMed,164,0,1.0,0.416168,LOW,0
217,-0.014826,neutral_informational-0054,neutral_informational,ISOT-true,158,0,,0.691217,LOW,0
218,-0.015055,fear_activating-0010,fear_activating,ISOT-fake,165,1,,0.654955,LOW,0
219,-0.015085,reward_hook-0046,reward_hook,Webis-Clickbait-17,160,1,,0.637167,LOW,0
220,-0.015227,reward_hook-0040,reward_hook,Webis-Clickbait-17,161,1,,0.346975,LOW,0
221,-0.015229,high_outrage-0004,high_outrage,SemEval-2019-Task4,189,1,,0.545375,LOW,0
222,-0.01534,high_outrage-0083,high_outrage,SemEval-2019-Task4,153,1,,0.804172,LOW,0
223,-0.015406,neutral_informational-0093,neutral_informational,PubMed,150,0,1.0,0.112126,LOW,0
224,-0.015709,high_outrage-0026,high_outrage,SemEval-2019-Task4,153,1,,,UNDEFINED,0
225,-0.015736,high_outrage-0064,high_outrage,SemEval-2019-Task4,156,1,,0.501144,LOW,0
226,-0.015831,high_outrage-0016,high_outrage,SemEval-2019-Task4,167,1,,0.345188,LOW,0
227,-0.01602,neutral_informational-0010,neutral_informational,ISOT-true,171,0,,0.157405,LOW,0
228,-0.01609,high_outrage-0071,high_outrage,SemEval-2019-Task4,181,1,,0.628091,LOW,0
229,-0.01615,reward_hook-0018,reward_hook,Webis-Clickbait-17,167,1,,0.556055,LOW,0
230,-0.016331,fear_activating-0014,fear_activating,ISOT-fake,170,1,,0.267656,LOW,0
231,-0.016372,reward_hook-0088,reward_hook,Webis-Clickbait-17,181,1,,0.507394,LOW,0
232,-0.01656,high_outrage-0014,high_outrage,SemEval-2019-Task4,157,1,,0.149626,LOW,0
233,-0.016823,high_outrage-0082,high_outrage,SemEval-2019-Task4,159,1,,0.568916,LOW,0
234,-0.016851,neutral_informational-0011,neutral_informational,PubMed,179,0,1.0,,UNDEFINED,0
235,-0.016861,high_outrage-0031,high_outrage,SemEval-2019-Task4,167,1,,0.676946,LOW,0
236,-0.017187,neutral_informational-0012,neutral_informational,ISOT-true,163,0,,0.392488,LOW,0
237,-0.01726,reward_hook-0084,reward_hook,Webis-Clickbait-17,151,1,,0.720713,LOW,0
238,-0.01729,neutral_informational-0002,neutral_informational,ISOT-true,173,0,,0.597343,LOW,0
239,-0.01739,reward_hook-0032,reward_hook,Webis-Clickbait-17,159,1,,0.630088,LOW,0
240,-0.017817,high_outrage-0030,high_outrage,SemEval-2019-Task4,155,1,,0.431260,LOW,0
241,-0.017825,reward_hook-0076,reward_hook,Webis-Clickbait-17,159,1,,0.443974,LOW,0
242,-0.017939,reward_hook-0045,reward_hook,Webis-Clickbait-17,160,1,,,UNDEFINED,0
243,-0.018032,high_outrage-0025,high_outrage,SemEval-2019-Task4,155,1,,0.135132,LOW,0
244,-0.018195,high_outrage-0078,high_outrage,SemEval-2019-Task4,156,1,,0.580835,LOW,0
245,-0.018197,reward_hook-0055,reward_hook,Webis-Clickbait-17,154,1,,0.465976,LOW,0
246,-0.01836,high_outrage-0099,high_outrage,SemEval-2019-Task4,157,1,,0.294515,LOW,0
247,-0.018401,fear_activating-0065,fear_activating,ISOT-fake,180,1,,,UNDEFINED,0
248,-0.018456,fear_activating-0061,fear_activating,ISOT-fake,180,1,,0.574887,LOW,0
249,-0.018528,fear_activating-0053,fear_activating,ISOT-fake,173,1,,0.622202,LOW,0
250,-0.018591,neutral_informational-0049,neutral_informational,PubMed,156,0,1.0,,UNDEFINED,0
251,-0.018653,neutral_informational-0060,neutral_informational,ISOT-true,150,0,,,UNDEFINED,0
252,-0.018743,fear_activating-0087,fear_activating,ISOT-fake,150,1,,0.719018,LOW,0
253,-0.018922,high_outrage-0023,high_outrage,SemEval-2019-Task4,160,1,,0.710212,LOW,0
254,-0.019141,high_outrage-0065,high_outrage,SemEval-2019-Task4,169,1,,0.572205,LOW,0
255,-0.01947,fear_activating-0083,fear_activating,ISOT-fake,166,1,,0.178168,LOW,0
256,-0.019473,neutral_informational-0045,neutral_informational,PubMed,159,0,1.0,0.645794,LOW,0
257,-0.019541,fear_activating-0051,fear_activating,ISOT-fake,150,1,,0.158222,LOW,0
258,-0.019668,neutral_informational-0087,neutral_informational,PubMed,154,0,1.0,0.418391,LOW,0
259,-0.019766,reward_hook-0037,reward_hook,Webis-Clickbait-17,170,1,,,UNDEFINED,0
260,-0.019899,reward_hook-0026,reward_hook,Webis-Clickbait-17,157,1,,0.401476,LOW,0
261,-0.020544,high_outrage-0060,high_outrage,SemEval-2019-Task4,167,1,,0.733886,LOW,0
262,-0.021131,high_outrage-0055,high_outrage,SemEval-2019-Task4,160,1,,0.265468,LOW,0
263,-0.021211,neutral_informational-0099,neutral_informational,PubMed,163,0,1.0,0.129124,LOW,0
264,-0.021924,neutral_informational-0017,neutral_informational,PubMed,198,0,1.0,0.379917,LOW,0
265,-0.022296,reward_hook-0017,reward_hook,Webis-Clickbait-17,157,1,,,UNDEFINED,0
266,-0.022727,high_outrage-0085,high_outrage,SemEval-2019-Task4,175,1,,0.755309,LOW,0
267,-0.023512,high_outrage-0001,high_outrage,SemEval-2019-Task4,157,1,,0.602281,LOW,0
268,-0.023661,high_outrage-0019,high_outrage,SemEval-2019-Task4,167,1,,0.705649,LOW,0
269,-0.023682,reward_hook-0016,reward_hook,Webis-Clickbait-17,173,1,,0.566932,LOW,0
270,-0.024029,reward_hook-0044,reward_hook,Webis-Clickbait-17,154,1,,,UNDEFINED,0
271,-0.024438,high_outrage-0054,high_outrage,SemEval-2019-Task4,154,1,,0.604900,LOW,0
272,-0.024532,neutral_informational-0098,neutral_informational,ISOT-true,175,0,,0.632246,LOW,0
273,-0.024545,high_outrage-0052,high_outrage,SemEval-2019-Task4,171,1,,,UNDEFINED,0
274,-0.024557,reward_hook-0007,reward_hook,Webis-Clickbait-17,160,1,,0.123038,LOW,0
275,-0.024577,neutral_informational-0019,neutral_informational,PubMed,165,0,1.0,0.377521,LOW,0
276,-0.024628,neutral_informational-0018,neutral_informational,ISOT-true,171,0,,0.169681,LOW,0
277,-0.024691,high_outrage-0081,high_outrage,SemEval-2019-Task4,151,1,,0.022242,LOW,0
278,-0.024862,reward_hook-0092,reward_hook,Webis-Clickbait-17,167,1,,0.351434,LOW,0
279,-0.025028,neutral_informational-0074,neutral_informational,ISOT-true,169,0,,0.416345,LOW,0
280,-0.025236,neutral_informational-0040,neutral_informational,ISOT-true,159,0,,0.088283,LOW,0
281,-0.025377,high_outrage-0087,high_outrage,SemEval-2019-Task4,159,1,,0.652509,LOW,0
282,-0.025708,neutral_informational-0073,neutral_informational,PubMed,153,0,1.0,,UNDEFINED,0
283,-0.025739,high_outrage-0067,high_outrage,SemEval-2019-Task4,169,1,,0.268595,LOW,0
284,-0.025779,fear_activating-0072,fear_activating,ISOT-fake,166,1,,0.414459,LOW,0
